StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Prolific ID,HR_AI_no_no_no,HR_AI_yes_yes_yes,HR_AI_no_yes_yes,HR_AI_yes_no_yes,HR_AI_yes_yes_no,HR_AI_no_no_yes,HR_AI_no_yes_no,HR_AI_yes_no_no,HR_AI_none,HR_Human_no_no_no,HR_Human_yes_yes_yes,HR_Human_no_yes_yes,HR_Human_yes_no_yes,HR_Human_no_no_yes,HR_Human_yes_yes_no,HR_Human_no_yes_no,HR_Human_yes_no_no,HR_Human_none,Med_AI_no_no_no,Med_AI_yes_yes_yes,Med_AI_no_yes_yes,Med_AI_yes_no_yes,Med_AI_yes_yes_no,Med_AI_no_no_yes,Med_AI_no_yes_no,Med_AI_yes_no_no,Med_AI_none,Med_Human_no_no_no,Med_Human_yes_yes_ye,Med_Human_no_yes_yes,Med_Human_yes_no_yes,Med_Human_yes_yes_no,Med_Human_no_no_yes,Med_Human_no_yes_no,Med_Human_yes_no_no,Med_Human_none,Effort_1,Time of preparation_1,Originality and nove_1,Originality and nove_2,Originality and nove_3,Originality and nove_4,Accountability_1,Accountability_2,Accountability_3,Accountability_4,Transparency_1,Transparency_2,Transparency_3,Transparency_4,Reliability_1,Reliability_2,Reliability_3,Reliability_4,Q19,Q20,Q20_4_TEXT,Q21,Q21_8_TEXT,Q22,Q23,Q24,Q25,AnalystName,ReportType,FL_3_DO,FL_5_DO
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,Please enter your Prolific ID,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,Which company do you choose to invest in?,"In your opinion, how much effort did it take the analyst to prepare this report? - Effort of preparation","In your opinion, how much time did it take the analyst to prepare this report? - Time of preparation",To what extent do you agree or disagree with the following statements about the report? (1/4) - The report offered an original perspective.,To what extent do you agree or disagree with the following statements about the report? (1/4) - The report showed signs of an unconventional approach.,To what extent do you agree or disagree with the following statements about the report? (1/4) - The report felt like it was based on what most people would think.,To what extent do you agree or disagree with the following statements about the report? (1/4) - The report seems to draw on the most common data patterns and conventional lines of thinking.,To what extent do you agree or disagree with the following statements about the report? (2/4) - I would know who would be held accountable if the recommendations in this report turned out to be wrong.,To what extent do you agree or disagree with the following statements about the report? (2/4) - The report gave me confidence that someone would stand behind its claims.,To what extent do you agree or disagree with the following statements about the report? (2/4) - The report felt like it was produced without clear ownership.,To what extent do you agree or disagree with the following statements about the report? (2/4) - I did not get the sense that anyone was personally responsible for this report.,To what extent do you agree or disagree with the following statements about the report? (3/4) - I could clearly understand the process used to create the report.,To what extent do you agree or disagree with the following statements about the report? (3/4) - The report's reasoning process felt like a 'black box' to me.,"To what extent do you agree or disagree with the following statements about the report? (3/4) - I feel that potential limitations, assumptions, or biases associated with this report were sufficiently clear.",To what extent do you agree or disagree with the following statements about the report? (3/4) - The report did not provide sufficient information and evidence to justify its various points and arguments.,"To what extent do you agree or disagree with the following statements about the report? (4/4) - I felt confident that, if I knew which companies the pseudonyms referred to, I could check the accuracy of the facts and data presented in the report.",To what extent do you agree or disagree with the following statements about the report? (4/4) - The report gave me the feeling that it might include errors stated as facts.,To what extent do you agree or disagree with the following statements about the report? (4/4) - Everything in the report felt grounded in verifiable sources.,To what extent do you agree or disagree with the following statements about the report? (4/4) - Some parts of the report made me pause and question their accuracy.,"What is your year of birth? (For example, 1989)",How do you identify your gender? - Selected Choice,How do you identify your gender? - Prefer to self-describe - Text,What is your race or ethnicity? (Please check all that apply) - Selected Choice,What is your race or ethnicity? (Please check all that apply) - A race or ethnicity not listed here (please specify) - Text,Which of the following categories best describes your current primary occupation?,"What is your approximate annual household income?
(Note: If you are outside the U.S., please estimate the equivalent in U.S. dollars.)",Which statement best describes your personal investing experience?,"How often do you use AI-powered tools (e.g., ChatGPT, Bard, Copilot) in any context?",AnalystName,ReportType,FL_3 - Block Randomizer - Display Order,FL_5 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID94""}","{""ImportId"":""QID97""}","{""ImportId"":""QID100""}","{""ImportId"":""QID103""}","{""ImportId"":""QID106""}","{""ImportId"":""QID109""}","{""ImportId"":""QID112""}","{""ImportId"":""QID115""}","{""ImportId"":""QID118""}","{""ImportId"":""QID121""}","{""ImportId"":""QID124""}","{""ImportId"":""QID127""}","{""ImportId"":""QID130""}","{""ImportId"":""QID133""}","{""ImportId"":""QID136""}","{""ImportId"":""QID139""}","{""ImportId"":""QID145""}","{""ImportId"":""QID148""}","{""ImportId"":""QID151""}","{""ImportId"":""QID154""}","{""ImportId"":""QID157""}","{""ImportId"":""QID160""}","{""ImportId"":""QID163""}","{""ImportId"":""QID166""}","{""ImportId"":""QID169""}","{""ImportId"":""QID172""}","{""ImportId"":""QID178""}","{""ImportId"":""QID181""}","{""ImportId"":""QID184""}","{""ImportId"":""QID187""}","{""ImportId"":""QID190""}","{""ImportId"":""QID196""}","{""ImportId"":""QID199""}","{""ImportId"":""QID202""}","{""ImportId"":""QID211""}","{""ImportId"":""QID208""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID18_4""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID21_4_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_8_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""AnalystName""}","{""ImportId"":""ReportType""}","{""ImportId"":""FL_3_DO""}","{""ImportId"":""FL_5_DO""}"
2025-08-18 10:00:12,2025-08-18 10:02:56,IP Address,100,163,True,2025-08-18 10:02:57,R_7p5twXaiGBwJK1N,anonymous,EN,1,671fef4fbb7859f8518c4ab2,,,,,,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,6,5,5,4=Neutral,5,5,6,5,5,6,6,4=Neutral,4=Neutral,3,5,5,5,5,1998,Female / Woman,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$75,000 to $99,999",Limited: I have some experience but don't invest often.,A few times a month,J.M. Wright,HR,FL_43,FL_94
2025-08-18 09:57:50,2025-08-18 10:03:18,IP Address,100,328,True,2025-08-18 10:03:19,R_5xy4TML3mPEJ9hF,anonymous,EN,1,5e29cc3230cf9d03580c34bf,,,,,,,,,,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,4=Average amount of effort,4=Average amount of time,3,1=Strongly Disagree,6,6,3,4=Neutral,6,6,6,4=Neutral,5,3,6,2,5,3,1989,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$50,000 to $74,999",Limited: I have some experience but don't invest often.,A few times a week,Sarah Brown,HR,FL_45,FL_86
2025-08-18 09:58:40,2025-08-18 10:03:52,IP Address,100,312,True,2025-08-18 10:03:52,R_8jUQXfiIYtPpgc1,anonymous,EN,1,5f3e6a07e06e71069f919082,,,,,,,,,,,,,Hamilton Sterling Group (HSG),,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,6,6,1=Strongly Disagree,2,5,7=Strongly agree,5,4=Neutral,6,5,5,2,5,3,1991,Male / Man,,White / Caucasian,,"Management, Business, or Financial","$100,000 to $149,999",Moderate: I make personal investments from time to time.,A few times a week,Christopher Davis,HR,FL_44,FL_94
2025-08-18 09:57:48,2025-08-18 10:04:11,IP Address,100,382,True,2025-08-18 10:04:11,R_8xEMYtbFVGFdIdo,anonymous,EN,1,675ab3f6c12c9e3fd27046b3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),,,,,6,5,5,3,3,5,2,2,4=Neutral,5,5,3,3,3,6,3,4=Neutral,3,1993,Female / Woman,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$100,000 to $149,999",Moderate: I make personal investments from time to time.,Daily or almost daily,Sarah Brown,Med,FL_45,FL_120
2025-08-18 09:57:13,2025-08-18 10:04:26,IP Address,100,432,True,2025-08-18 10:04:26,R_2383lMETfUGLxf8,anonymous,EN,1,60f5df9db9380d875c320307,,,,,,,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,6,6,5,5,6,7=Strongly agree,4=Neutral,5,5,6,5,3,5,3,6,3,5,3,1964,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$75,000 to $99,999",Moderate: I make personal investments from time to time.,A few times a week,J.M. Wright,HR,FL_43,FL_92
2025-08-18 10:02:46,2025-08-18 10:04:51,IP Address,100,125,True,2025-08-18 10:04:52,R_8PhzKNU9W6xFNMG,anonymous,EN,1,6776601a5b7de0504928b211,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,2,2,6,5,2,6,3,3,6,2,4=Neutral,2,6,4=Neutral,5,3,1987,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$75,000 to $99,999",Limited: I have some experience but don't invest often.,Daily or almost daily,Christopher Davis,HR,FL_44,FL_84
2025-08-18 09:57:59,2025-08-18 10:04:54,IP Address,100,414,True,2025-08-18 10:04:54,R_1V24ziuRXIm3adX,anonymous,EN,1,6630fcae418bde6a9e7c3b47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adaptive Vision (ADPT),,,,,,7=Extreme amount of effort,6,5,4=Neutral,6,7=Strongly agree,7=Strongly agree,6,2,1=Strongly Disagree,6,1=Strongly Disagree,6,1=Strongly Disagree,5,2,6,2,1983,Male / Man,,"Asian,Hispanic or Latino",,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$150,000 or more",Moderate: I make personal investments from time to time.,A few times a week,Christopher Davis,Med,FL_44,FL_122
2025-08-18 10:00:05,2025-08-18 10:05:15,IP Address,100,309,True,2025-08-18 10:05:16,R_2N9ck4K81UPuvxN,anonymous,EN,1,5ecf9b46617a9b3dd56b3fe3,,,,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,,,,,,,,,,,7=Extreme amount of effort,7=Extreme amount of time,6,4=Neutral,5,4=Neutral,4=Neutral,5,2,2,5,2,5,2,5,5,5,3,1945,Male / Man,,White / Caucasian,,Retired,"$75,000 to $99,999",Moderate: I make personal investments from time to time.,Less than once a month,Christopher Davis,Med,FL_44,FL_104
