Prolific ID,original_answer
673b7ef45c9291ade287d5d7,Hamilton Sterling Group (HSG)
571b79465d40840012c4055a,Hamilton Sterling Group (HSG)
61030ea0fd598c32549577b8,Hamilton Sterling Group (HSG)
5d41d708128a05000183c461,Hamilton Sterling Group (HSG)
5dcfaad2dd9a740c2493fc28,Hamilton Sterling Group (HSG)
5f4a9eb861da210d3496cb34,Hamilton Sterling Group (HSG)
67e7d7ba69a2afc3b987fd3f,Hamilton Sterling Group (HSG)
5ec4369ded266915fb4e4ae8,Hamilton Sterling Group (HSG)
5ec135213d32b40417fd9ea3,Hamilton Sterling Group (HSG)
56b78f11e77ebe000cbefe79,Hamilton Sterling Group (HSG)
6471e0a407b30a4f171dbd35,Hamilton Sterling Group (HSG)
6750f2355fd9ba678f76fa5c,Hamilton Sterling Group (HSG)
5a8a2325b3ec5bf71f359619,Hamilton Sterling Group (HSG)
56896433d3d6a7000ca23d94,Hamilton Sterling Group (HSG)
6647eae0cdc9da0ab81dc415,Hamilton Sterling Group (HSG)
65df3cf4bf05d8eff24ed78b,Hamilton Sterling Group (HSG)
5eaf1a2c649fd108284c2b5f,Hamilton Sterling Group (HSG)
5ee1cf1e0df8e55c6b9e1f1a,Hamilton Sterling Group (HSG)
666af621e0cefa7dc393bbc5,Hamilton Sterling Group (HSG)
6283e5cee0833a2307ddeb0f,Hamilton Sterling Group (HSG)
60aff9a6354c706f21c27da1,Hamilton Sterling Group (HSG)
6548f960db60a00d76e92695,Hamilton Sterling Group (HSG)
669a4f388b2de8df723faf1e,Hamilton Sterling Group (HSG)
5bb48501d3be310001c1afeb,Hamilton Sterling Group (HSG)
66294db6d68dbd70fb31fb3c,Hamilton Sterling Group (HSG)
65ee4106d4b632b7fb7a3f79,Hamilton Sterling Group (HSG)
67d1d172e049a486152a5ce9,Hamilton Sterling Group (HSG)
583fe092d639d0000142fb2e,Hamilton Sterling Group (HSG)
5e40458fee95202846ccf7f3,Hamilton Sterling Group (HSG)
66d7a63854decf633f48f674,Hamilton Sterling Group (HSG)
6781c04bb4d02ad68a57e4ae,Hamilton Sterling Group (HSG)
5e1f3d570e12222708fae5ce,Hamilton Sterling Group (HSG)
652f102802f99197634d599a,Hamilton Sterling Group (HSG)
653fb87b3cb99e8f2c730d3d,Hamilton Sterling Group (HSG)
666044f3a8e70f7fefb42014,Hamilton Sterling Group (HSG)
5abbe13268b65b00018cf94b,Hamilton Sterling Group (HSG)
5f4a7a00dc1bde60ab8f7ac5,Hamilton Sterling Group (HSG)
67b867317a15cc0a14b16294,Hamilton Sterling Group (HSG)
66ee4d807a6161ba6a9b5211,Hamilton Sterling Group (HSG)
63d2fe57eea8cacc91a44fdd,Hamilton Sterling Group (HSG)
62b5d90d09660072824f68cf,Hamilton Sterling Group (HSG)
669e0fa745b32ae95bde8754,Hamilton Sterling Group (HSG)
681395aa7f23f1207cc3814c,Hamilton Sterling Group (HSG)
671dde8079f492a4a7b49e7a,Hamilton Sterling Group (HSG)
677bcb212ebc1d6360f23fe6,Hamilton Sterling Group (HSG)
675c850be4490dfd129fffaf,Hamilton Sterling Group (HSG)
674b46b00690584bddd6e33b,Hamilton Sterling Group (HSG)
67ee3bce2fd293df8bc0c77a,Hamilton Sterling Group (HSG)
6766ce58f2f6140bdb9fb2b3,Hamilton Sterling Group (HSG)
671f12c5d2543b67c0f12e57,Hamilton Sterling Group (HSG)
5c8249a1fff8430014e992fe,Hamilton Sterling Group (HSG)
66d9d8108156d32cbe34ee6f,Hamilton Sterling Group (HSG)
5fe49a4ad8918ba1615e298d,Hamilton Sterling Group (HSG)
5c77d238e926fc00170b4975,Hamilton Sterling Group (HSG)
68074d953a722d26b904fc7d,Hamilton Sterling Group (HSG)
5ca612a8d24640001432512c,Hamilton Sterling Group (HSG)
56ca3e3237d66c000c59a891,Hamilton Sterling Group (HSG)
67e037f21c6a42a34775ee52,Hamilton Sterling Group (HSG)
5d78d57c8f579d001518e74f,Hamilton Sterling Group (HSG)
5be87e33a14b540001aa2ea5,Hamilton Sterling Group (HSG)
67ef5e1ea8330a7744f39e17,Hamilton Sterling Group (HSG)
5ef405ce2de83f1a2fa278e4,Hamilton Sterling Group (HSG)
649ed52c6deb05c245aa42db,Hamilton Sterling Group (HSG)
677bdabbdcaf99b4cd8c86a5,Hamilton Sterling Group (HSG)
66463e3ccc2fcde4d3fabf53,Hamilton Sterling Group (HSG)
660ec4452539f6860b02db7a,Hamilton Sterling Group (HSG)
67d095bc257ecc840642912e,Hamilton Sterling Group (HSG)
5ca937309ac82a0001312c88,Hamilton Sterling Group (HSG)
641de00ed49b15381e60ae88,Hamilton Sterling Group (HSG)
67dd9d7cb2b6bc83e7981f45,Hamilton Sterling Group (HSG)
61f2abdca09e72f23cbaf4c4,Hamilton Sterling Group (HSG)
66245f5bc8c29b85b0ecf5db,Hamilton Sterling Group (HSG)
68b64ff34b1f56ddafd9d053,Hamilton Sterling Group (HSG)
56bd7bf3d4e2180005a86846,Hamilton Sterling Group (HSG)
673593b7b37c1ce17037b3f0,Hamilton Sterling Group (HSG)
5bf54dd783653500016776ec,Hamilton Sterling Group (HSG)
67ddabeab4ee0d6587d33f75,Hamilton Sterling Group (HSG)
56f699e876348f000c883bba,Hamilton Sterling Group (HSG)
676e8422294dd6823d5f77e3,Hamilton Sterling Group (HSG)
66636514bc4749ad83a2adc8,Hamilton Sterling Group (HSG)
6888f02966d2df364e808f42,Hamilton Sterling Group (HSG)
672451c5f4e558e08242d746,Hamilton Sterling Group (HSG)
66491e9882aaa64c5d0911d5,Hamilton Sterling Group (HSG)
5f036a5ded8a402703d24a0c,Hamilton Sterling Group (HSG)
67e8573dadc0a260c9c4242b,Hamilton Sterling Group (HSG)
66cf40a29f72528d5f3c752e,Hamilton Sterling Group (HSG)
633d785ff76adb41addde965,Hamilton Sterling Group (HSG)
67f0158b01e9ac80ef1ff943,Hamilton Sterling Group (HSG)
6605c064889aa790d3e0fe49,Hamilton Sterling Group (HSG)
5c1b9212bfd9220001a9ada0,Hamilton Sterling Group (HSG)
67e567d4265ecb014e6b298b,Hamilton Sterling Group (HSG)
6655d895e8c33b7738009342,Hamilton Sterling Group (HSG)
666d90f7298663574b4c3d48,Hamilton Sterling Group (HSG)
616b0933631552c8aebc161d,Hamilton Sterling Group (HSG)
5e4b1c2f5bc4e203ab0f3882,Hamilton Sterling Group (HSG)
6735cca783ade1144f24bc78,Hamilton Sterling Group (HSG)
5f47d8f1e974b12169221876,Hamilton Sterling Group (HSG)
6172f9bf1c90302309a07d38,Hamilton Sterling Group (HSG)
5f4538b6ffe9f50c3cbe3ae1,Hamilton Sterling Group (HSG)
66685eeb54a9c79c92733852,Hamilton Sterling Group (HSG)
6654564b8702377b93366849,Hamilton Sterling Group (HSG)
66e0569e76fa6e4be6919693,Hamilton Sterling Group (HSG)
5bd249d45c90120001d1043f,Hamilton Sterling Group (HSG)
668d833768086eaaa243c0ed,Hamilton Sterling Group (HSG)
60e48448342dd992aaee8118,Hamilton Sterling Group (HSG)
67f067f743c72104040dc225,Hamilton Sterling Group (HSG)
5a9bcd3f1eda410001366c55,Hamilton Sterling Group (HSG)
67ed196a6eea8b90b3a7f5b2,Hamilton Sterling Group (HSG)
5ec585f19fbe6c5921eae3db,Hamilton Sterling Group (HSG)
6760acee7b448e51215b1910,Hamilton Sterling Group (HSG)
676063838d4db0d3eaa69c2b,Hamilton Sterling Group (HSG)
5ec62902bb44c16b842128f9,Hamilton Sterling Group (HSG)
65720c5658873745398ffe08,Hamilton Sterling Group (HSG)
665350d2cbec1d69819d36dd,Hamilton Sterling Group (HSG)
67356f7cf6ff16fe3322a837,Hamilton Sterling Group (HSG)
67edcb7f41fcf6ae64c28a27,Hamilton Sterling Group (HSG)
5df5b73cd52c7b4021e0d0b6,Hamilton Sterling Group (HSG)
5cf806142780ca001a9d5cee,Hamilton Sterling Group (HSG)
68892626185fec0f0ef5a624,Hamilton Sterling Group (HSG)
55a29659fdf99b5ff49937d3,Hamilton Sterling Group (HSG)
66bfd63fb347261f46db75e3,Hamilton Sterling Group (HSG)
60fc3a1e0eb578aa02590e27,Hamilton Sterling Group (HSG)
5c33933cf3eeb60001d627c1,Hamilton Sterling Group (HSG)
5aafe2a9fb22320001babb3a,Hamilton Sterling Group (HSG)
61575f1257634f8182c29c16,Hamilton Sterling Group (HSG)
659d6ca29e5500da27f1cb5b,Hamilton Sterling Group (HSG)
67e8e88ed0713752dc570969,Hamilton Sterling Group (HSG)
6012e691ac1f2b0bbbf29d19,Hamilton Sterling Group (HSG)
65c8d7f023278532f6f49139,Hamilton Sterling Group (HSG)
5fbd18be2b7651043385b705,Hamilton Sterling Group (HSG)
66293dd4c51422edb482d223,Hamilton Sterling Group (HSG)
66edea9d406f629b67ce30b8,Hamilton Sterling Group (HSG)
66293cc1dcfaa310dd0f711b,Hamilton Sterling Group (HSG)
5bd8a00a96b35e0001679819,Hamilton Sterling Group (HSG)
5f218f86a3a5b05784d9d371,Hamilton Sterling Group (HSG)
67bdde603c09c5e652cf5de8,Hamilton Sterling Group (HSG)
676aa442d14c0860ded4bacf,Hamilton Sterling Group (HSG)
677d37f7c10fd4adcf8557d1,Hamilton Sterling Group (HSG)
65d5193fb4ab52841b51aeaf,Hamilton Sterling Group (HSG)
6776c927f9dc484f730bf614,Hamilton Sterling Group (HSG)
68430ec19a795109ffd53e19,Hamilton Sterling Group (HSG)
67d160272a11ce5155437ddf,Hamilton Sterling Group (HSG)
611148a7ca1dd5243d92bb1d,Hamilton Sterling Group (HSG)
6704025bdd15dcd73f54125a,Hamilton Sterling Group (HSG)
67b928562a1432d3ca6d879a,Hamilton Sterling Group (HSG)
59fc46db0fff620001a6b3ff,Hamilton Sterling Group (HSG)
5a25a9a3b51f2c0001e5d9ed,Hamilton Sterling Group (HSG)
662a8814cc84e6106df5fb7a,Hamilton Sterling Group (HSG)
67f8607be129189cd9ea4c0a,Hamilton Sterling Group (HSG)
655371cac562a3701896f9fc,Hamilton Sterling Group (HSG)
66396a847cf5e339d0794a09,Hamilton Sterling Group (HSG)
66fc5dc2ea1f07a1c9676134,Hamilton Sterling Group (HSG)
673c4a2f2e7fa95b1f8d04ac,Hamilton Sterling Group (HSG)
5980fff19bf4fe0001070984,Hamilton Sterling Group (HSG)
63ea53ecf4c312f153c66c83,Hamilton Sterling Group (HSG)
6723bebed3cb23087bebc5bd,Hamilton Sterling Group (HSG)
677ca29eed2a6d65ce59f43b,Hamilton Sterling Group (HSG)
5f5bb87a0093333445af65f2,Hamilton Sterling Group (HSG)
5cfbca108483c6001530c04a,Hamilton Sterling Group (HSG)
5aeb247ebf1f2b00018ef63b,Hamilton Sterling Group (HSG)
5ee4aab1232e9d1b4d791bae,Hamilton Sterling Group (HSG)
