StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q9,Q1,Q4,FL_9_DO
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Please enter your Prolific ID,"Based on your own impression of the reports, how likely is it that the text you just read was AI-generated (rather than human-written)?",What aspects of the text influenced your rating? Please share your perspectives.,FL_9 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""FL_9_DO""}"
2025-08-09 16:52:57,2025-08-09 16:57:12,IP Address,100,255,True,2025-08-09 16:57:12,R_5qeYZ93Gklwcb13,anonymous,EN,666f2488909bc0331b8563e6,Somewhat likely human-written,It just didn't read like AI. There were not a lot of dashes. The language seemed to flow well.,Med_ai
2025-08-09 16:54:28,2025-08-09 16:57:22,IP Address,100,173,True,2025-08-09 16:57:22,R_5HQAQLKNOTJm1hL,anonymous,EN,638371bc3a1d7da12422ea22,Equally likely human-written or AI-generated,I do not know so I went with it could be human or AI,HR_human
2025-08-09 16:53:02,2025-08-09 16:57:39,IP Address,100,276,True,2025-08-09 16:57:39,R_5iCS4nz5V44pTgt,anonymous,EN,607668ac450fc6e3025a131d,Very likely human-written,"The report is written in a highly structured way. It contains well-explained market context and financial comparisons, which are consistent with human-authored analyst reports.",Med_ai
2025-08-09 16:55:06,2025-08-09 16:57:39,IP Address,100,152,True,2025-08-09 16:57:39,R_54ZBKHo834w4WmR,anonymous,EN,66323f16b05df4403391861c,Very likely AI-generated,The way it was worded and the language used made me think AI.,Med_human
2025-08-09 16:53:03,2025-08-09 16:57:40,IP Address,100,277,True,2025-08-09 16:57:41,R_5I5hnVowjI06S4X,anonymous,EN,5ba292385301b80001c71ba2,Very likely AI-generated,It seems very fact based and neutral with these companies information which makes me think it is AI written.,HR_ai
2025-08-09 16:56:43,2025-08-09 16:57:41,IP Address,100,58,True,2025-08-09 16:57:41,R_7S6LMgIbOma7KWG,anonymous,EN,60f1ced4225e6a8c261a9b13,Somewhat likely AI-generated,"The verbiage. It seems too conversational for a economic advisement. ",HR_ai
2025-08-09 16:56:14,2025-08-09 16:59:53,IP Address,100,219,True,2025-08-09 16:59:54,R_7xDKcJUvUvCS5TH,anonymous,EN,631c8e97db06f601f81bd82f,Equally likely human-written or AI-generated,"I feel like this was most likely a human writing because it is professional. I did not see any parts that made me doubt it is, although the level of details makes me feel like AI was also included in this process. There are lots of financial statements like this that often are written by humans, but I do presume some AI aspects are associated with the style and format.",HR_human
2025-08-09 16:57:33,2025-08-09 17:00:19,IP Address,100,166,True,2025-08-09 17:00:19,R_37JASLQVwwlyKYa,anonymous,EN,5e1414d158a5c7a5a1d99be3,Very likely AI-generated,The way it is heavily wordy.,Med_human
2025-08-09 16:59:36,2025-08-09 17:00:41,IP Address,100,64,True,2025-08-09 17:00:41,R_5USPD56fsPVCPCh,anonymous,EN,5d851419d126db0001cf0396,Definitely AI-generated,"It felt overly structured and dry. ",HR_ai
